,tweet,label
0, ,real
1,rt,real
2,this,fake
3,we,fake
4,indiafightscorona,real
5,november,fake
6,actress,fake
7,iranian,fake
8,our,real
9,today,real
10,126,real
11,image,fake
12,speakerpelosi,fake
13,5,fake
14,to,real
15,alabama,fake
16,news,fake
17,70,real
18,new,real
19,raymond,fake
20,image,fake
21,there,real
22,be,real
23,the,real
24,the,real
25,univcordoba,fake
26,as,real
27,correction,real
28,cardiac,real
29,kowheori19,real
30,do,real
31,rt,real
32,luvhopecourage,real
33,covid19,fake
34,writer,fake
35,japanese,fake
36,social,fake
37,orwell,fake
38,indiafightscorona,real
39,indiafightscorona,real
40,indiafightscorona,real
41,a,fake
42,as,real
43,as,fake
44,a,fake
45,a,fake
46,video,fake
47,as,real
48,morris1k,fake
49,coronavirus,fake
50,paulreiddublin,fake
51,lemon,fake
52,currently,real
53,sexcounsele,fake
54,I,fake
55,video,fake
56,coronavirusupdates,real
57,ontario,fake
58,day,fake
59,438,real
60,yesterday,real
61,1186,real
62,current,real
63,a,real
64,a,fake
65,yes,real
66,if,real
67,at,fake
68,riccisergienko,real
69,the,real
70,indiafightscorona,real
71,if,real
72,rt,real
73,the,fake
74,a,fake
75,parent,real
76,florida,real
77,be,fake
78,indiafightscorona,real
79,a,real
80,three,real
81,shaskell12,real
82,rajesharao,fake
83,it,real
84,trump,fake
85,croatian,fake
86,india,fake
87,nashville,fake
88,texas,real
89,clinical,fake
90,more,real
91,while,real
92,federal,fake
93,a,fake
94,coronavirus,real
95,equitable,real
96,sinclair,fake
97,hospital,real
98,temperature,fake
99,covid19,real
100,pub,real
101,japanese,fake
102,a,real
103,how,real
104,news,fake
105,claim,fake
106,late,real
107,our,real
108,lockdown,fake
109,north,fake
110,the,real
111,as,fake
112,indiafightscorona,real
113,south,real
114,as,real
115,our,real
116,germany,fake
117,the,real
118,delay,real
119,do,fake
120,americans,fake
121,one,real
122,bioweapon,fake
123,acc,real
124,the,real
125,the,fake
126,cdc,real
127,there,real
128,widely,fake
129,thankful,real
130, ,real
131,the,real
132,news,fake
133,coronavirus,fake
134,the,fake
135,that,real
136,chloroquine,fake
137,in,real
138,why,fake
139,a,fake
140,just,real
141,dr,fake
142,police,fake
143,cuba,fake
144,rt,real
145,great,fake
146,at,real
147,rt,real
148,barack,fake
149,biden,fake
150,two,real
151,coronavirusupdates,real
152,indiafightscorona,real
153,garysaintdooley,real
154,old,real
155,base,real
156,coronavirus,fake
157,joebiden,fake
158,one,real
159,social,real
160,an,fake
161,a,fake
162,we,real
163,americans,fake
164,erscongress,real
165,the,real
166,a,fake
167,rt,real
168,president,fake
169,russia,fake
170,not,fake
171,for,real
172,massive,real
173,one,fake
174,an,real
175,ground,fake
176,265,real
177,be,fake
178,the,real
179,new,real
180,24,real
181,go,fake
182,covid19,fake
183,rt,real
184,this,real
185,a,real
186,population,fake
187,the,real
188,start,fake
189,indiafightscorona,real
190,rt,real
191,kamalaharris,fake
192,133,real
193,resident,real
194,tobacco,real
195,coronavirusupdates,real
196,cdc,real
197,fear,real
198,a,fake
199,mask,real
200,rt,real
201,indiafightscorona,real
202,vaccine,fake
203,say,fake
204,the,real
205,as,real
206,coronavirusupdates,real
207,apple,fake
208,cocaine,fake
209,who,fake
210,who,fake
211,jennifer,fake
212,indiafightscorona,real
213,3,real
214,the,real
215,donald,fake
216,a,fake
217,gune,fake
218,new,fake
219,the,fake
220,covid19,fake
221,viral,fake
222,coronavirus,fake
223,the,real
224,shadow,real
225,melania,fake
226,late,fake
227,say,fake
228,new,fake
229,chair,real
230,prof,real
231,work,real
232,we,real
233,test,real
234,as,real
235,hospitalize,real
236,2340,real
237,woman,fake
238,ravenrider2020,fake
239,contact,real
240,olly,fake
241,video,fake
242,there,real
243,usb,fake
244,the,real
245,every,fake
246,vitamin,real
247,trudeau,fake
248,as,real
249,india,fake
250,some,real
251,some,real
252,coronavirus,fake
253,prime,fake
254,coronavirusupdates,real
255,president,fake
256,majority,real
257,donald,fake
258,there,fake
259,god,fake
260,the,real
